account_id,transaction_id,date,time,activity,amount,category,type,vendor_name
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,95767841,2023-01-01,11:53,food_and_drink,10.11,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,83163585,2023-01-01,09:00,monthly_salary,3932.41,income,income,employer
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,26181442,2023-01-02,21:13,general_merchandise,25.65,general_merchandise,expense,walmart
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,94841870,2023-01-02,18:21,food_and_drink,20.68,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,61452901,2023-01-03,7:52,transportation,46.96,transportation,expense,lyft
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,31095469,2023-01-03,15:17,loan_payments,54.65,loan_payments,expense,bank_of_america
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,92032996,2023-01-04,10:51,food_and_drink,39.88,food_and_drink,expense,mcdonalds
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,99098524,2023-01-04,13:33,transportation,48.99,transportation,expense,taxi
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,90212670,2023-01-05,17:37,transportation,26.22,transportation,expense,lyft
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,55566510,2023-01-06,9:36,food_and_drink,48.05,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,37206072,2023-01-06,10:00,transfer_to_savings,78.78,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,57372183,2023-01-08,20:41,general_merchandise,50.1,general_merchandise,expense,walmart
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,78236318,2023-01-09,18:59,food_and_drink,23.52,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,66201533,2023-01-09,12:53,personal_care,45.7,personal_care,expense,salon
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,43263988,2023-01-10,7:23,food_and_drink,49.15,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,45262958,2023-01-12,21:37,general_merchandise,80.6,general_merchandise,expense,walmart
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,42646596,2023-01-12,19:41,food_and_drink,10.39,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,18649632,2023-01-13,11:1,personal_care,83.61,personal_care,expense,spa
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,29374052,2023-01-13,10:00,transfer_to_savings,74.45,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,24092998,2023-01-15,17:32,food_and_drink,20.31,food_and_drink,expense,mcdonalds
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,84553223,2023-01-16,20:35,general_merchandise,33.85,general_merchandise,expense,walmart
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,34009322,2023-01-16,14:3,general_services,84.7,general_services,expense,delivery_service
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,57338395,2023-01-17,13:15,food_and_drink,39.22,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,12822619,2023-01-17,17:44,general_services,64.77,general_services,expense,cleaning_service
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,52757018,2023-01-19,21:12,food_and_drink,82.98,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,16398147,2023-01-19,16:53,transportation,10.49,transportation,expense,taxi
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,19651170,2023-01-20,20:1,transportation,44.45,transportation,expense,taxi
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,57686380,2023-01-20,10:00,transfer_to_savings,94.57,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,20962614,2023-01-23,14:8,food_and_drink,53.98,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,89135065,2023-01-24,7:57,food_and_drink,12.01,food_and_drink,expense,mcdonalds
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,83163313,2023-01-26,18:36,food_and_drink,34.84,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,71102747,2023-01-27,10:00,transfer_to_savings,62.14,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,42870804,2023-01-28,9:20,food_and_drink,77.81,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,70266138,2023-01-28,11:35,general_services,30.64,general_services,expense,repair_shop
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,75598372,2023-01-29,21:27,food_and_drink,25.87,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,13352723,2023-01-30,7:16,food_and_drink,90.11,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,81789763,2023-01-30,12:52,personal_care,67.34,personal_care,expense,spa
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,94865987,2023-01-31,12:10,food_and_drink,66.37,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,18279310,2023-02-01,18:19,food_and_drink,70.01,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,46734009,2023-02-01,21:1,personal_care,84.48,personal_care,expense,salon
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,31534667,2023-02-01,09:00,monthly_salary,3967.73,income,income,employer
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,22093632,2023-02-02,17:56,food_and_drink,25.2,food_and_drink,expense,local_cafe
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,93153596,2023-02-03,10:00,transfer_to_savings,68.35,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,83485961,2023-02-05,14:5,general_merchandise,84.17,general_merchandise,expense,walmart
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,66339906,2023-02-05,7:46,food_and_drink,11.57,food_and_drink,expense,mcdonalds
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,26182931,2023-02-05,19:55,entertainment,80.78,entertainment,expense,netflix
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,89252432,2023-02-06,10:27,general_merchandise,71.62,general_merchandise,expense,amazon
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,26552540,2023-02-06,21:5,food_and_drink,63.55,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,89397923,2023-02-09,19:30,food_and_drink,26.12,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,21210749,2023-02-09,21:24,transportation,46.78,transportation,expense,lyft
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,34571665,2023-02-10,15:36,general_merchandise,40.89,general_merchandise,expense,amazon
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,92826261,2023-02-10,10:7,food_and_drink,42.37,food_and_drink,expense,starbucks
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,82802731,2023-02-10,10:00,transfer_to_savings,87.16,savings,transfer,savings_account
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,22161361,2023-02-14,12:48,general_merchandise,10.61,general_merchandise,expense,amazon
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,69836031,2023-02-14,9:50,transportation,28.13,transportation,expense,uber
MzlkawJ9zZFookd9bynvc66GN1rGnxcLRpg8M,32228640,2023-02-15,19:18,general_merchandise,56.72,general_merchandise,expense,amazon
